,1,Article,Keyword,Sentence
304,,test_pdfs/NCJRS.bib.pdf,youth,"COMPENDIUM OF RESEARCH ON CHILDREN EXPOSED TO VIOLENCE: 2010-2015 36 2014-CK-BX-0009: Grantee: Amount: Status: Evaluation of the Effectiveness and Sustainability of the Olweus Bullying Prevention Program in Increasing School Safety for Urban Low-Income Middle Schools Virginia Commonwealth University $2,660,933 Ongoing 2014-CK-BX-0011: Grantee: Amount: Status: Wisconsin School Violence and Bullying Prevention Study Wisconsin Department of Public Instruction $858,187 Ongoing The Olweus Bullying Prevention Program (OBPP) is a comprehensive school-based program designed to prevent youth violence and bullying by improving school climate."
305,,test_pdfs/NCJRS.bib.pdf,youth,"This adapted strategy will be specifically tailored to meet the needs of urban, minority youth living in low-SES communities."
306,,test_pdfs/NCJRS.bib.pdf,youth,"Objective 2 uses mixed methods to ensure that the BCCU is valid, feasible, and acceptable to urban, minority youth and their teachers."
307,,test_pdfs/NCJRS.bib.pdf,youth,"This dataset tracks 8,984 youth over 12 annual waves."
308,,test_pdfs/NCJRS.bib.pdf,youth,"Of these, 676 youth self-report gang membership."
309,,test_pdfs/NCJRS.bib.pdf,youth,Grantee: Amount: Status: The purpose of this research project is to examine the developmental trajectories associated with dating violence (DV) from pre-adolescence through young adulthood within a high risk population (youth with a history of maltreatment and foster care) with a focus on the potential buffering impact of a prevention program on DV outcomes.
310,,test_pdfs/NCJRS.bib.pdf,youth,"In addition, bullying can be understood as an opportunity for intervention with troubled youth, potentially preventing the proliferation of more extreme violence throughout the nations schools and communities."
311,,test_pdfs/NCJRS.bib.pdf,youth,"Based on currently available evidence, the committee will review relevant research and practice-based literatures on bullying prevention and provide recommendations for future research and policy efforts to support bullying prevention Initiatives, which are likely to result in improved health, safety, and well-being of children and youth."
312,,test_pdfs/NCJRS.bib.pdf,youth,"The report will inform Institutions serving youth, federal, state, and local policymakers, and other stakeholders."
313,,test_pdfs/NCJRS.bib.pdf,youth,"G: Youth Systems Involvement and Response 2010-JB-FX-0006 Grantee: Amount: Status: Criminal Justice Researcher-Practitioner Fellowship Placement Program-- Enhancing Judiciarys Role in Child Welfare: Promoting Interagency Collaboration and Best Practices University of Maryland $275,991 Completed Juvenile justice researchers and criminal justice practitioners have long been aware of the challenges in effective and efficient service delivery for troubled youth and their families."
314,,test_pdfs/NCJRS.bib.pdf,youth,"These challenges are embodied by the persistently negative life trajectory for many crossover youth, who are youth involved in both dependency and delinquency systems."
315,,test_pdfs/NCJRS.bib.pdf,youth,"Researchers at the University of Maryland, College Park, (UM) and the Maryland Judiciary propose to engage in a research-practitioner partnership to enhance the Judiciarys role in child welfare reform in Maryland, to develop a model for integrating the Judiciary into cross-system collaborations, and to prepare Maryland to be on the forefront of systematic and broad-reaching electronicallybased case management systems that inform comprehensive service delivery for the most troubled of Americas youth."
316,,test_pdfs/NCJRS.bib.pdf,youth,"The researcher-practitioner partnership between UM and the COMPENDIUM OF RESEARCH ON CHILDREN EXPOSED TO VIOLENCE: 2010-2015 57 Maryland Judiciary aims to collect systematic data on crossover youth to identify needs and gaps in services, to evaluate the landscape of interagency partnerships, and identify a model of collaboration."
317,,test_pdfs/NCJRS.bib.pdf,youth,"Specifically, this project will use court records, interviews, surveys, and archival documents to study crossover youth and interagency collaborations."
318,,test_pdfs/NCJRS.bib.pdf,youth,"Quantitative and qualitative analysis will be used to provide insight into the prevalence and characteristics of crossover youth, as well as to identify needs and gaps in current service delivery."
319,,test_pdfs/NCJRS.bib.pdf,youth,"Furthermore, the study will identify data elements related to crossover youth for inclusion in the electronic case management system currently being developed by the Judiciary."
320,,test_pdfs/NCJRS.bib.pdf,youth,The proposed project will capitalize on two emerging statewide electronic monitoring systems to enhance research and practitioner awareness of the prevalence and needs of crossover youth.
321,,test_pdfs/NCJRS.bib.pdf,youth,"A goal for this system is to serve as a comprehensive resource for identifying youths needs and services, and the researcher will assist this effort through the proposed project."
322,,test_pdfs/NCJRS.bib.pdf,youth,"Activated in 2010, this tool offers a comprehensive picture of the needs and treatment service plans for DJS youth."
323,,test_pdfs/NCJRS.bib.pdf,youth,"Product: NCJ# 248679 Traversing Two Systems: An Assessment of Crossover Youth in Maryland The review of State and local practices with such youth identified preliminary signs of progress within a general context of inattention to their distinctive risk, needs, and treatment."
324,,test_pdfs/NCJRS.bib.pdf,youth,"Consistent with prior studies, quantitative analyses that compared samples of crossover youth (n=526) and delinquency-only youth (n=601) showed that crossover youth were chronically involved in the juvenile justice system, having their first arrest at an earlier age and with more arrests and referrals than non-crossover youth."
325,,test_pdfs/NCJRS.bib.pdf,youth,"Analyses of Baltimore City crossover youth (n=200) and a dependency-only sample (n=200) determined that the crossover group had different and more persistent family problems, more out-of-home placements, and longer length of placement."
326,,test_pdfs/NCJRS.bib.pdf,youth,"Regarding Marylands response to this issue, several State-led initiatives are promising, as they have incorporated practices promoted in the crossover-youth practice literature; however, none of the programs specifically address this group."
327,,test_pdfs/NCJRS.bib.pdf,youth,"Approximately 60 percent of survey respondents reported using routines for identifying crossover youth, providing cross-system notifications on proceedings, and holding family and multidisciplinary team meetings for crossover cases."
328,,test_pdfs/NCJRS.bib.pdf,youth,The study findings indicate a consensus need for more focused efforts on crossover youth in Maryland.
329,,test_pdfs/NCJRS.bib.pdf,youth,"Using a combination of case study and outcome approaches including document reviews, interviews, focus groups, and data analysis, this one year study will seek to understand the processes that led to the decision to eliminate the agency, the responses of local jurisdictions assuming custody and supervision of state youth, youth outcomes, organizational changes, and the legal issues involved in transfer of custody from the state to counties."
330,,test_pdfs/NCJRS.bib.pdf,youth,"2011-MU-MU-0027 Grantee: Amount: Status: A Multi-method, Multi-Site Study of Gang Desistance Curators of the University of Missouri on Behalf of UMSL $501,337 Ongoing In the proposed research, in-depth interviews will be conducted with youth who have been gang involved at some point during the past five years."
331,,test_pdfs/NCJRS.bib.pdf,youth,"In light of this rich information, the proposed interviews will focus on the youths gang experience by tapping into the meanings of youths experiences, and what they aibute as the salient factors associated with their gang desistance."
332,,test_pdfs/NCJRS.bib.pdf,youth,"Embedded within this overall goal are four objectives: 1) to assess the extent to which the experience of leaving the gang is similar or different for stable and transient youth; 2) to examine whether the processes for leaving the gang vary depending upon the gang members centrality in the gang (i.e., core versus peripheral); 3) to investigate the role of sex and race/ethnicity in gang leaving; and 4) to investigate the extent that gang characteristics (e.g., group structure, sex composition, and gang types) influence the desistance process."
333,,test_pdfs/NCJRS.bib.pdf,youth,"2003) will guide the quantitative analyses; that is, the researchers view gang membership as part of the adolescent experience and believe that it can best be understood by conceptualizing the onset of gang membership as a turning point in the lives of youth (Melde and Esbensen 2011)."
334,,test_pdfs/NCJRS.bib.pdf,youth,"For instance, gang joining impacts youths relationships with peers, school, and family; it changes their routine activities, and may even affect the way they think about themselves and their ideas about right and wrong."
335,,test_pdfs/NCJRS.bib.pdf,youth,These potential consequences of gang joining may also impact their behavior and account for the observation that gang youth are substantially more involved in delinquent behavior generally and violent offending specifically.
336,,test_pdfs/NCJRS.bib.pdf,youth,"Importantly for this proposal, a body of research has found that gang membership is a transitory stage for most youth who become gang involved; gang membership is a status generally held for less than one year (e.g., Bendixen et al."
337,,test_pdfs/NCJRS.bib.pdf,youth,"The study followed the placement experiences of 2,360 foster youth in Chicago from birth to 16 years of age, using State administrative data, census data, and the community survey of the Project of Human Development in Chicago Neighborhoods."
338,,test_pdfs/NCJRS.bib.pdf,youth,"2013-JF-FX-0034 Grantee: Amount: Status: Secondary Analysis of the Survey of Youth in Residential Placement Data American Institutes for Research $40,000 Ongoing The purpose of research is to examine racial disparity among youth placed in residential facilities."
339,,test_pdfs/NCJRS.bib.pdf,youth,"Using data from the Survey of Youth in Residential Placement (SYRP) in 2003, this secondary analysis will assess disparity using information concerning background characteristics, youth experiences while incarcerated, and expectations for life after incarceration."
340,,test_pdfs/NCJRS.bib.pdf,youth,"In 2003, the SYRP was administered to a sample of youth residing in 204 residential placement facilities in 35 states."
341,,test_pdfs/NCJRS.bib.pdf,youth,Additional data from the Juvenile Residential Facility Census (JRFC) will be used to provide information about the contexts in which youth participants reside.
342,,test_pdfs/NCJRS.bib.pdf,youth,"2014-JF-FX-0023 Grantee: Amount: Status: The Self-Determination and Mental Health of Youth in Residential Placement: Patterns of Risk Resilience in Links with Prior Abuse and Victimization Georgia State University Research Foundation $38,116 Ongoing The purpose of this proposed project is to examine patterns of vulnerability and resilience related to prior trauma, including abuse and victimization, amongst youth in residential placement."
343,,test_pdfs/NCJRS.bib.pdf,youth,"The project will focus on two outcomes predictive of successful transitions back to COMPENDIUM OF RESEARCH ON CHILDREN EXPOSED TO VIOLENCE: 2010-2015 63 the community: self-determination, which refers to youths goals and aspirations for the future and their skills to accomplish them, and mental health."
344,,test_pdfs/NCJRS.bib.pdf,youth,Project goals are twofold: (1) to examine the link of prior abuse and victimization with the self-determination and mental health of youth in residential placement; and (2) to identify experiences of youth in residential placement that either exacerbate or protect against the risks to self-determination and mental health.
345,,test_pdfs/NCJRS.bib.pdf,youth,"The goals of this proposed project will be addressed through analysis of data from the Office of Juvenile Justice and Delinquency Preventions (OJDPs) Survey of Youth in Residential Placement (SYRP), a nationally representative sample of 7,073 youth offenders aged 10 to 20."
346,,test_pdfs/NCJRS.bib.pdf,youth,"Analyses will test (1) for distinct subpopulations of youth characterized by vulnerability and resilience based on (a) their self-determination and mental health outcomes, and (b) the effects of prior abuse and victimization on these outcomes; and (2) hypotheses that victimization at the facility will be associated with increased odds of belonging to a subpopulation characterized by vulnerability, whereas youth perceptions of positive facility climate and psychological services received at the facility will be associated with increased odds of belonging to a subpopulation characterized by resilience."
347,,test_pdfs/NCJRS.bib.pdf,youth,"Identification of the relationships between risk and resilience can then be used to develop specific interventions to promote youths self-determination and mental health, and to improve their confinement conditions."
348,,test_pdfs/NCJRS.bib.pdf,youth,The first is a peer reviewed journal article targeted at researchers who will hopefully build on the findings of this project to investigate tailored self-determination and mental health interventions that can be designed to improve outcomes for incarcerated youth through changing facets of facility climate.
349,,test_pdfs/NCJRS.bib.pdf,youth,"Study Sample: Data are drawn from the Survey of Youth in Residential Placement (SYRP), a crosssectional survey of a nationally representative sample of 7,073 youth in custody in 2003."
350,,test_pdfs/NCJRS.bib.pdf,youth,"Research Design and Methods: Given the disparate number of gang-involved youth in the community setting (prior to residential placement) and during incarceration, research is needed to understand these changes in gang involvement."
351,,test_pdfs/NCJRS.bib.pdf,youth,"In addition, this study will explore the relationship between these patterns of gang involvement and victimization among youth in custody."
352,,test_pdfs/NCJRS.bib.pdf,youth,"The goal of these analyses is to determine whether gang involvement is indeed a risk factor for victimization in residential placement, as is seen in community samples, or whether it serves as a protective factor, as youth often believe."
353,,test_pdfs/NCJRS.bib.pdf,youth,This study capitalizes on a unique opportunity to piggy-back onto an existing large study about crime and victimization in the lives of a nationally representative sample of 4500 children and youth.
354,,test_pdfs/NCJRS.bib.pdf,youth,"Product: NCJ# 248577 National Profile of Children Exposed to Family Violence: Police Response, Family Response, and Individual Impact The National Profile of Children Exposed to Family Violence: Police Response, Family Response and Individual Impact study provides the first nationally representative data on youth contact COMPENDIUM OF RESEARCH ON CHILDREN EXPOSED TO VIOLENCE: 2010-2015 66 with law enforcement and victim services - including best practices and help-seeking obstacles - for cases of family violence involving exposure to children."
355,,test_pdfs/NCJRS.bib.pdf,youth,"The NatSCEV study, conducted in 2011, involved telephone interviews with parents of children age 0-9 and with youths age 10-17."
356,,test_pdfs/NCJRS.bib.pdf,youth,"Almost half of children witnessed an arrest when one occurred, though only 1 in 4 youth were spoken to by police responding to the scene."
357,,test_pdfs/NCJRS.bib.pdf,youth,"Although this group reports elevated trauma symptoms, the characteristics of a specific domestic violence incident and the response to that incident by police were generally unrelated to youths current trauma symptoms after controlling for history of victimization and other adversities."
358,,test_pdfs/NCJRS.bib.pdf,youth,MLMC also provides 1 0-session Sexual Exploitation Prevention groups to youth at-risk for DMST (-400 youth per year).
359,,test_pdfs/NCJRS.bib.pdf,youth,"MLMC clients are 99% female, 80% are youth of color."
360,,test_pdfs/NCJRS.bib.pdf,youth,All youth in this evaluation will be 14-17 years old.
361,,test_pdfs/NCJRS.bib.pdf,youth,We will also explore whether the program benefits some youth (such as those who are highly engaged with MLMC services) more than for others.
362,,test_pdfs/NCJRS.bib.pdf,youth,"The relevance of the proposed research to human trafficking policy, practice and theory is that it will provide new evidence about whether it is possible to prevent at-risk youth from being trafficked domestically within a year of prevention group services, and whether the theoretical basis of MLMC (i.e., resilience theory, mentorship) produces successful results for minors who have been trafficked."
363,,test_pdfs/NCJRS.bib.pdf,youth,We will also compare outcomes for youth who are in the survivor advocacy services group and for youth who are in the at-risk prevention group.
364,,test_pdfs/NCJRS.bib.pdf,youth,We will follow all youth from baseline to 12 months with a six month interim assessment.
365,,test_pdfs/NCJRS.bib.pdf,youth,"The research team is ideally prepared and highly qualified to carry out the proposed project, as they are experts in the conduct of research on highly sensitive topics with youth, in program evaluation, and violence-related program cost effectiveness analyses."
366,,test_pdfs/NCJRS.bib.pdf,youth,MLMC also provides 1 0-session Sexual Exploitation Prevention groups to youth at-risk for DMST (-400 youth per year).
367,,test_pdfs/NCJRS.bib.pdf,youth,"MLMC clients are 99% female, 80% are youth of color."
368,,test_pdfs/NCJRS.bib.pdf,youth,All youth in this evaluation will be 14-17 years old.
369,,test_pdfs/NCJRS.bib.pdf,youth,We will also explore whether the program benefits some youth (such as those who are highly COMPENDIUM OF RESEARCH ON CHILDREN EXPOSED TO VIOLENCE: 2010-2015 77 engaged with MLMC services) more than for others.
370,,test_pdfs/NCJRS.bib.pdf,youth,"The relevance of the proposed research to human trafficking policy, practice and theory is that it will provide new evidence about whether it is possible to prevent at-risk youth from being trafficked domestically within a year of prevention group services, and whether the theoretical basis of MLMC (i.e., resilience theory, mentorship) produces successful results for minors who have been trafficked."
371,,test_pdfs/NCJRS.bib.pdf,youth,We will also compare outcomes for youth who are in the survivor advocacy services group and for youth who are in the at-risk prevention group.
372,,test_pdfs/NCJRS.bib.pdf,youth,We will follow all youth from baseline to 12 months with a six month interim assessment.
373,,test_pdfs/NCJRS.bib.pdf,youth,"The research team is ideally prepared and highly qualified to carry out the proposed project, as they are experts in the conduct of research on highly sensitive topics with youth, in program evaluation, and violence-related program cost effectiveness analyses."
374,,test_pdfs/NCJRS.bib.pdf,youth,"The proposed mixed-methods project has four aims: (1) Evaluate changes in key agency personnels awareness, knowledge, and capacity for responding to STM, including trends in charges of human trafficking offenses involving victims who are minors, from pre implementation to post-implementation of a safe harbor law in one jurisdictional condition; (2) COMPENDIUM OF RESEARCH ON CHILDREN EXPOSED TO VIOLENCE: 2010-2015 78 Examine the impact of immunity, protective, and rehabilitative provisions of a safe harbor law; (3) Provide guidance on how juvenile and family judgesxc2xbf knowledge and attitudes influence their responses to trafficking victims as witnesses and as defendants in crimes related to their trafficking victimization within metropolitan and non-metropolitan communities; and (4) Identify and disseminate policy, education, and practice strategies that support informed judicial decision-making in family and juvenile court cases involving youth exploited in commercial sex."
375,,test_pdfs/NCJRS.bib.pdf,youth,"Qualitative and quantitative data will be collected from multiple sources: (1) telephone-administered interviews with 375 professionals who work in agencies that serve-at risk youth and/or crime victims/offenders, including secondary data analysis of interview data collected pre implementation of the safe harbor law; (2) statewide secondary aggregate data on criminal charges of human trafficking and prostitution of juveniles from 2007-2018; and (3) face-to-face and telephone interviews with 50 family and juvenile court judges from metropolitan and nonmetropolitan communities across the project state and the U.S."
376,,test_pdfs/NCJRS.bib.pdf,youth,"Qualitative research will include two samples: 1) a statewide sample of juveniles (N=120) representative of the broad diversity of New Yorks youth, to focus on why these orders are underutilized and how to improve awareness, access, and the details of the orders of protection available to juveniles to better meet their unique circumstances; and 2) a more targeted and opportunistic sample of juveniles (N=48) referred for, or seeking help for dating violence from the only New York City specialty legal services program addressing this issue (Day One) to focus on their actual experience accessing and utilizing protective orders."
377,,test_pdfs/NCJRS.bib.pdf,youth,"2010-WG-BX-0003: Grantee: Amount: Status: Understanding Youths Use of Technology to Perpetuate Dating Violence, Stalking and Sexual Harassment, and Victimization The Urban Institute $367,429 Completed The Urban Institutes (UI) Justice Policy Center will conduct an examination of youths use of technology and new media to perpetrate psychologically abusive behaviors toward romantic partners, stalking behaviors, and sexually harassing and victimizing behaviors."
378,,test_pdfs/NCJRS.bib.pdf,youth,"The overall goal of the project is to expand knowledge about the types of victimizing experiences youth have in COMPENDIUM OF RESEARCH ON CHILDREN EXPOSED TO VIOLENCE: 2010-2015 84 romantic relationships, the prevalence of violence perpetration via technology and new media outlets (e.g., social networking sites, texting on cellular phones, etc."
379,,test_pdfs/NCJRS.bib.pdf,youth,"(2) To identify the nature of these experiences, where the experiences take place, and if youth are seeking help when they experience victimization via technology/new media (from whom, the kinds of help they received, and the types of help they did not receive but wanted)."
380,,test_pdfs/NCJRS.bib.pdf,youth,"To address these objectives, the research team will conduct an exploratory survey with 8,000 youths from high schools and middle schools in the Austin, TX and Albany, NY areas."
381,,test_pdfs/NCJRS.bib.pdf,youth,"Product: NCJ# 243296 Technology, Teen Dating Violence and Abuse, and Bullying The study found that 26 percent of youth in a dating relationship had experienced some form of cyber dating abuse in the previous year."
382,,test_pdfs/NCJRS.bib.pdf,youth,Twelve percent of youth in a dating relationship said they had perpetrated cyber dating abuse in the previous year.
383,,test_pdfs/NCJRS.bib.pdf,youth,"Lesbian, gay, bisexual, transgender, and questioning (LGBTQ) youth reported significantly higher rates of cyber dating abuse and perpetration than heterosexual youth."
384,,test_pdfs/NCJRS.bib.pdf,youth,"Seventeen percent of youth reported being victims of cyber bullying, with females experiencing significantly higher victimization rates than males."
385,,test_pdfs/NCJRS.bib.pdf,youth,LGBTQ youth reported significantly higher rates of cyber bullying victimization and perpetration than heterosexual youth.
386,,test_pdfs/NCJRS.bib.pdf,youth,"COMPENDIUM OF RESEARCH ON CHILDREN EXPOSED TO VIOLENCE: 2010-2015 86 2011-MU-MU-0023: Integrating Prevention and Intervention: A School Health Center Program to Promote Healthy Adolescent Relationships Grantee: Public Health Institute Amount: $807,490 Status: Completed The three-levels of integrated intervention that comprise the School Health Center Healthy Adolescent Relationships Program (SHARP) are: 1) Individual-level - a brief clinical intervention for SHC male and female clients delivered by SHC providers utilizing HEART (evaluated via client pre and post surveys and chart review); 2) Clinic-level -- development of an ARA-informed SHC staff and clinic environment utilizing HEART (evaluated via a clinic-level quality improvement tool and provider pre and post-training surveys); and 3) School-level -- SHC-based youth-led outreach activities within the school to promote healthy relationships and improve student safety (evaluated by baseline and follow-up assessments with youth leaders and measures of school climate)."
387,,test_pdfs/NCJRS.bib.pdf,youth,"The purpose of this study is to produce a nationally representative estimate of the prevalence of multiple forms of TDV among youth, to document specific characteristics of abusive relationships, to assess TDV risk factors, and to situate this estimate within the environment of adolescents key social relationships and communications."
388,,test_pdfs/NCJRS.bib.pdf,youth,"Product: NCJ# 248630 National Descriptive Portrait of Adolescent Relationship Abuse: Results From the National Survey on Teen Relationships and Intimate Violence The National Survey on Teen Relationships and Intimate Violence (STRiV) for 12 to 18-year-old youth provides the first nationally representative household survey (n = 1,804) focused on adolescent relationship abuse (ARA), covering perpetration and victimization."
389,,test_pdfs/NCJRS.bib.pdf,youth,"Although psychological abuse was most common for these youth (more than 60%), the rates of sexual abuse (18%) and physical abuse victimization (18%), as well as 12% reporting perpetrating physical abuse and/or sexual abuse (12%) were substantial as well."
390,,test_pdfs/NCJRS.bib.pdf,youth,"Compared with youth aged 15 to 18, those 12 to 14 years old reported lower rates of psychological and sexual ARA victimization."
391,,test_pdfs/NCJRS.bib.pdf,youth,"Findings suggest that when working with youth in prevention services, interventions should not be designed for monolithic groups of ""victims"" or ""perpetrators."""
392,,test_pdfs/NCJRS.bib.pdf,youth,"2011-WG-BX-0021: Grantee: Amount: Status: Dating Violence among Latino Adolescents Northeastern University $555,896 Completed This basic research study will build on the current NIJ-funded Dating Violence Among Latino Adolescents(DAVILA) Study which examines dating violence, co-morbid victimization, psychosocial outcomes of dating violence, help-seeking efforts by Latino youth, and the impact of cultural factors on these associations."
393,,test_pdfs/NCJRS.bib.pdf,youth,"The goal of DAVILA - II is to collect a second wave of data from the participants in the original DAVILA study, resulting in longitudinal data that will allow the researchers to overcome many of the limitations associated with cross-sectional data and result in the first national longitudinal study to focus on dating violence among Latino youth."
394,,test_pdfs/NCJRS.bib.pdf,youth,"Product: NCJ# 248625 Dating Violence Among Latino Adolescents - II (DAVILA - II) Study The Dating Violence Among Latino Adolescents (DAVILA) - II study collected a second wave of data from the participants in the original DAVILA study (NCJ 242775), resulting in a longitudinal sample of 574 Latino youth."
395,,test_pdfs/NCJRS.bib.pdf,youth,"However, gender differences apparent in wave 1 were not present in wave 2, suggesting that gender differences in dating violence may be fluid along the developmental spectrum for Latino youth."
396,,test_pdfs/NCJRS.bib.pdf,youth,"The VCU-ACE project collects multiple waves of data on different forms of youth violence perpetration and victimization, including TDV, and on associated risk factors and adjustment as part of an evaluation of a community-level comprehensive prevention approach."
397,,test_pdfs/NCJRS.bib.pdf,youth,"The original sample was derived from a total enumeration of youths enrolled in grades 7, 9, and 11 in a county in Ohio in 2001-2002."
398,,test_pdfs/NCJRS.bib.pdf,youth,"COMPENDIUM OF RESEARCH ON CHILDREN EXPOSED TO VIOLENCE: 2010-2015 93 2013-VA-CX-0001: Grantee: Amount: Status: A Brief Intervention to Prevent Adolescent Dating Aggression Perpetration Trustees of Boston University, BUMC $741,630 Ongoing 2013-VA-CX-0003: Grantee: Amount: Status: The Dynamic Context of Teen Dating Violence within Adolescent Relationships Boston Medical Center Corporation $787,595 Ongoing This research proposal will test a brief intervention designed to reduce adolescent dating abuse (ADA) perpetration in a healthcare setting used primarily by low income, Black, and Hispanic youth."
399,,test_pdfs/NCJRS.bib.pdf,youth,"READY intercepts youth who utilize an urban emergency department for non-urgent health care (e.g., sprains), provides them with tailored feedback about their relationship behavior, and uses motivational interviewing to move them towards non-violence and respect."
400,,test_pdfs/NCJRS.bib.pdf,youth,"Participants will be 334 youth ages 16-18 years old who are patients of an urban pediatric emergency department; ~60% Black, 15% Hispanic, 15% White."
401,,test_pdfs/NCJRS.bib.pdf,youth,"The proposed hypotheses are: (1) Youth who participate in the brief intervention session and telephone booster call will report improved knowledge and attitudes, and less selfreported ADA perpetration up to 6 months post-intervention as compared to youth in the control group; and (2) the cost of providing the intervention will be less than the cost of the violence that occurs in its absence."
402,,test_pdfs/NCJRS.bib.pdf,youth,"2013-VA-CX-0007: Grantee: Amount: Status: Predicting Intimate Partner Violence for At-Risk Young Adults and Their Romantic Partners Oregon Social Learning Center $406,257 Ongoing The purpose of this research project is to advance the understanding of predictors of IPV through the utilization of a data set that combines exceptionally strong dynamic developmental and dyadic theory with multiagent/method longitudinal assessment of family, peer, youth adjustment factors, IPV perpetrated and received (including reports and observed couple interaction), and also antisocial talk (as an indicator of assortative partnering)."
403,,test_pdfs/NCJRS.bib.pdf,youth,"Using a prospective design, a mediational model will be tested of developmental risk factors (family, peer, youth adjustment) in childhood and adolescence to IPV in young adulthood, including physical, psychological and sexual IPV and injuries."
404,,test_pdfs/NCJRS.bib.pdf,youth,"COMPENDIUM OF RESEARCH ON CHILDREN EXPOSED TO VIOLENCE: 2010-2015 95 2013-VA-CX-0008: Grantee: Amount: Status: Effects of a Middle School Social-Emotional Learning Program on Teen Dating Violence, Sexual Violence, and Substance Use in High School Board of Trustees of University of Illinois, Chicago $662,993 Ongoing The purpose of this research project is to follow an existing middle school sample (part of a bullying and sexual violence prevention RCT using the Second Step program) into 5 high schools in Illinois, allowing the assessment of correspondence between trajectories in youth aggression and substance use among teens."
405,,test_pdfs/NCJRS.bib.pdf,youth,"Specific aims are to determine whether students who were part of the intervention group in a randomized control trial of Second Step in middle school demonstrated reductions in youth aggression, sexual violence, and substance use, and teen dating violence when in high school; to evaluate Second Step program effects on (2a) trajectories of bullying, victimization, homophobic teasing, sexual harassment, and teen dating violence in high school, (2b) the relations among growth in aggression and substance use, and (2c) whether substance use moderates links in the BullySexual Violence Pathway; to examine mediators of Second Step effects on reductions in aggression, bullying perpetration, victimization, sexual violence, dating violence and substance use."
406,,test_pdfs/NCJRS.bib.pdf,youth,"Subjects are youth respondents to the current national Survey of Teen Relationships and Violence (STRiV) study (n=2,354), drawn from the nationally representative Knowledge Networks panel."
407,,test_pdfs/NCJRS.bib.pdf,youth,"Subjects are youth respondents to the current national Survey of Teen Relationships and Violence (STRiV) study (n=2,354), drawn from the nationally representative Knowledge Networks panel."
408,,test_pdfs/NCJRS.bib.pdf,youth,"2014-MU-MU-K001: Effective Methods to Assess Exposure to Violence and Victimization among American Indian and Alaska Native Youth Grantee: American Indian Development Associates (AIDA) LLC Amount: $1,325,843 Status: Ongoing This study is intended to improve the health and well-being of American Indian/Alaska Native (AN/AN) youth by developing a survey instrument and research design that can effectively assess exposure to violence and victimization."
409,,test_pdfs/NCJRS.bib.pdf,youth,The Crimes against Children Research Center (CCRC) has a long history of developing instruments and conducting research to assess youth violence exposure.
410,,test_pdfs/NCJRS.bib.pdf,youth,"Although subject to reconsideration during the project, the initial target is to pilot the instrument and design with youth in 3 geographically and demographically different AI/AN communities, collecting a total of 200 to 500 interviews."
411,,test_pdfs/NCJRS.bib.pdf,youth,Supplemental Award: This methods study is intended to improve the health and well-being of American Indian (AI) and Alaska Native (AN) youth by developing a survey instrument and research design that can effectively assess exposure to violence and victimization.
412,,test_pdfs/NCJRS.bib.pdf,youth,"Although subject to reconsideration during the project, the initial target is to pilot the instrument and design with youth in three to four geographically and demographically different AI and AN communities, collecting a total of 375 interviews."
413,,test_pdfs/NCJRS.bib.pdf,youth,"Minority youth experience high levels of victimization, often from multiple sources."
414,,test_pdfs/NCJRS.bib.pdf,youth,"This project will (1) test a culturally-informed theoretical model of peer helping, reciprocity and influence; (2) develop reliable and valid measures of honor and dignity norms; (3) obtain youth views on effective nonviolent responses to peer victimization; and (4) develop cultural competency units for student programs and professional development workshops."
415,,test_pdfs/NCJRS.bib.pdf,youth,"Ratings of identityrelevant feelings (e.g., pride, guilt, connection, obligation) measure the perceived effectiveness, acceptability, and costs-benefits of each type of youth-generated helping response."
416,,test_pdfs/NCJRS.bib.pdf,youth,Researchers have called for better bias victimization surveillance tools and research is particularly needed on the extent that youth suffer from bias crimes and victimization.
417,,test_pdfs/NCJRS.bib.pdf,youth,"To address this gap, the proposed study will use a mixed-methods approach to develop a comprehensive youth bias crime violence exposure instrument, the Youth Bias Victimization Questionnaire (Y-BVQ)."
418,,test_pdfs/NCJRS.bib.pdf,youth,"Participants will include a sample of 900 racially and ethnically diverse groups of youth ages 10-21 living in urban and rural settings, and in communities with high immigrant populations."
419,,test_pdfs/NCJRS.bib.pdf,youth,"The scale will be reviewed by youth violence specialists, focus groups of teens, and administered in cognitive interviews to determine the appropriateness of language and content."
420,,test_pdfs/NCJRS.bib.pdf,youth,Phase 2 involves pilot administration of the instrument to a sample of 900 youth.
421,,test_pdfs/NCJRS.bib.pdf,youth,"Pilot data on bias victimization incidence and relationships between victimization and youth demographic and risk factors (peer victimization, adverse events, community safety, and mental health symptoms) will be analyzed using descriptive statistics, chi-square analyses, t-test and logistic regression analyses."
422,,test_pdfs/NCJRS.bib.pdf,youth,"2014-VF-GX-0001: Grantee: Amount: Status: Evaluation of the Office for Victims of Crime Vision 21: Linking Systems of Care for Children and Youth State Demonstration Project ICF, International $499,994 Ongoing The profound impact of child victimization provides compelling evidence of the need for a collaborative and multi-system response to identifying and serving child/youth victims."
423,,test_pdfs/NCJRS.bib.pdf,youth,"A full-scale evaluation of the V21-SOC demonstration will raise awareness about the needs of this vulnerable victim population and assist practitioners, policymakers, and researchers in understanding whether and how SOC can effectively assist child/youth victims."
